Altura (m),masculino,femenino
1.5,44.5-50kg,44.5-50kg
1.51,45.1-50.5kg,45.1-50.5kg
1.52,45.6-51kg,45.6-51kg
1.53,46.1-54.4kg,46.1-54.4kg
1.54,46.7-52.1kg,46.7-52.1kg
1.55,47.2-52.6kg,47.2-52.6kg
1.56,47.1-53.2kg,47.1-53.2kg
1.57,"54,3-58,1Kg  ",48.2-53.7kg
1.58,54.8-58.9 kg,48.6-54.3kg
1.59,53.3-59.6kg,49.3-54.8 kg
1.6,55.8-60.3kg,49.9-55.3kg
1.61,56.4-60.9kg,50.4-59.4kg
1.62,56.9-61.4kg ,51-56.6kg
1.63,57.5-61.8kg ,51.5-57.5kg
1.64,58-62.5kg ,52-58.2kg 
1.65,58.6-63 kg,52.6-58.9kg
1.66,59.1-63.7kg ,53.3-59.6kg 
1.67,59.6-64.4 kg,54-60.7kg 
1.68,60.2-65.1 kg,54.7-61.5kg
1.69,60.9-65.6kg ,55.4-62.2kg 
1.7,61.7-66.6kg ,56.1-62.8kg 
1.71, 62.4-67.4kg ,56.8-63.6kg
1.72,63.1-68.3kg ,57.5-64.3kg
1.73,63.8-69.1kg ,58.3-69.1kg
1.74,64.5-69.8kg,59-69.8kg
1.75,65.2-70.8kg ,59.7-66.5kg
1.76,65.6-71.3kg ,60.4-67.2kg
1.77,66.7-72kg ,61.1-67.8kg
1.78,67.4-72.8kg, 61.7-68.6kg
1.79,68.1-73.8kg ,62.5-69.3kg
1.8,65.8-74.4kg,63.3-70.1kg
1.81,69.5-75.4kg ,64-70.7kg
1.82,70.2-76.3kg ,64.7-71.5kg
1.83,70.9-77.2kg ,65.4-72.2kg
1.84,74.7-78.1kg,66.1-72.9kg
1.85,72.4-79kg ,66.6-73.6kg
1.86,73.1-79.7kg,73.1-79.7kg
1.87, 73.8-80.8kg, 73.8-80.8kg
1.88,74.5-81.7kg,74.5-81.7kg
1.89,75.4-82.6kg,75.4-82.6kg
1.9,76.3-83.5kg,76.3-83.5kg
1.91,77.2-84.4kg,77.2-84.4kg
1.92,78.1-85.3kg,78.1-85.3kg
1.93,79-86kg ,79-86kg
